stand,plot,tree,spp,dbh,cr,logs,height,ba_tree,tpa,ba,bal,site_class,lat,lon,elev
1,1e,1,paper birch,18.4,58.33333333,2222555555,75.24,1.846558378,20,,,5,44.441,-74.251,1700
1,1e,2,red maple,8.1,41.66666667,2222555555,46.08,0.357847044,20,,,5,44.441,-74.251,1700
1,1w,3,yellow birch,23.3,72.4137931,2222555555,89.9,2.961005665,20,,,5,44.441,-74.251,1700
1,1w,4,yellow birch,18.1,47.36842105,2222555555,79.04,1.786835392,20,,,5,44.441,-74.251,1700
1,1w,5,hard maple,9.4,46.39175258,2222555555,68.385,0.481929047,20,,,5,44.441,-74.251,1700
1,1w,6,red maple,12.5,68.31683168,2222555555,60.095,0.852211563,20,,,5,44.441,-74.251,1700
1,2e,1,red maple,6.1,47.61904762,2222555555,56.448,0.20294907,20,,,5,44.441,-74.251,1700
1,2e,2,red maple,6.9,47.61904762,2222555555,56.448,0.259672272,20,,,5,44.441,-74.251,1700
1,2e,3,red maple,10.6,52.21238938,2222555555,51.98,0.612828743,20,,,5,44.441,-74.251,1700
1,2e,4,hard maple,8.1,39.69465649,2222555555,44.278,0.357847044,20,,,5,44.441,-74.251,1700
1,2e,5,hard maple,6.2,46.39175258,2222555555,45.59,0.20965768,20,,,5,44.441,-74.251,1700
1,2e,6,hard maple,7.7,39.28571429,2222555555,46.032,0.323376791,20,,,5,44.441,-74.251,1700
1,2e,7,hard maple,7,56.52173913,2222555555,40.296,0.267253546,20,,,5,44.441,-74.251,1700
1,2w,8,hard maple,7,45.65217391,2222555555,49.036,0.267253546,20,,,5,44.441,-74.251,1700
1,2w,9,yellow birch,5.4,45.71428571,2222555555,50.4,0.159043131,20,,,5,44.441,-74.251,1700
1,2w,10,hard maple,9.2,37.93103448,2222555555,58.812,0.461639595,20,,,5,44.441,-74.251,1700
1,2w,11,red maple,9,38.27160494,2222555555,35.64,0.441786474,20,,,5,44.441,-74.251,1700
1,2w,12,red maple,10.5,55.17241379,2222555555,58.928,0.601320479,20,,,5,44.441,-74.251,1700
1,2w,13,hard maple,5.8,53.5483871,2222555555,56.265,0.183477741,20,,,5,44.441,-74.251,1700
1,2w,14,red maple,8.2,56.68789809,2222555555,59.66,0.366737315,20,,,5,44.441,-74.251,1700
1,2w,15,yellow birch,10,59.54198473,2222555555,60.391,0.5454154,20,,,5,44.441,-74.251,1700
1,3e,1,red maple,10.4,44.89795918,2222555555,67.326,0.589921297,20,,,5,44.441,-74.251,1700
1,3e,2,yellow birch,11,50,2222555555,65.604,0.659952634,20,,,5,44.441,-74.251,1700
1,3e,3,yellow birch,13.6,57.55813953,2222555555,67.94,1.008800324,20,,,5,44.441,-74.251,1700
1,3e,4,hard maple,7.5,56.2962963,2222555555,58.05,0.306796163,20,,,5,44.441,-74.251,1700
1,3e,5,hard maple,9.5,50,2222555555,49.232,0.492237399,20,,,5,44.441,-74.251,1700
1,3e,6,hard maple,8.1,54.83870968,2222555555,68.975,0.357847044,20,,,5,44.441,-74.251,1700
1,3w,7,hard maple,12.4,61.8705036,2222555555,67.554,0.838630719,20,,,5,44.441,-74.251,1700
1,3w,8,yellow birch,15.1,68.86227545,2222555555,82.665,1.243601654,20,,,5,44.441,-74.251,1700
1,3w,9,yellow birch,6.7,56.79012346,2222555555,38.475,0.244836973,20,,,5,44.441,-74.251,1700
1,3w,10,hard maple,12.7,53.24675325,2222555555,46.431,0.879700499,20,,,5,44.441,-74.251,1700
1,3w,11,red maple,14.9,48.50746269,2222555555,64.588,1.21087673,20,,,5,44.441,-74.251,1700
1,4e,1,red maple,10.8,54.32098765,2222555555,85.05,0.636172523,20,,,5,44.441,-74.251,1700
1,4e,2,red maple,16.2,67.88990826,2222555555,73.793,1.431388176,20,,,5,44.441,-74.251,1700
1,4e,3,red maple,6.7,49.13793103,2222555555,60.552,0.244836973,20,,,5,44.441,-74.251,1700
1,4e,4,red maple,10,59.8540146,2222555555,57.266,0.5454154,20,,,5,44.441,-74.251,1700
1,4e,5,hard maple,11.3,47.96747967,2222555555,52.398,0.696440924,20,,,5,44.441,-74.251,1700
1,4w,6,yellow birch,20.6,54.08805031,2222555555,84.429,2.314524791,20,,,5,44.441,-74.251,1700
1,4w,7,yellow birch,14.9,61.9047619,2222555555,64.575,1.21087673,20,,,5,44.441,-74.251,1700
1,5e,1,red maple,10.2,62.22222222,2222555555,71.685,0.567450182,20,,,5,44.441,-74.251,1700
1,5e,2,red spruce,6.3,64.44444444,2222555555,42.03,0.216475372,20,,,5,44.441,-74.251,1700
1,5e,3,hard maple,9.2,48.90510949,2222555555,63.02,0.461639595,20,,,5,44.441,-74.251,1700
1,5e,4,red maple,1.9,40,2222555555,60,0.019689496,20,,,5,44.441,-74.251,1700
1,5e,5,hard maple,10.4,51.79856115,2222555555,68.805,0.589921297,20,,,5,44.441,-74.251,1700
1,5w,6,hard maple,12.8,46.51162791,2222555555,67.768,0.893608591,20,,,5,44.441,-74.251,1700
1,5w,7,red maple,14,62.77372263,2222555555,77.405,1.069014184,20,,,5,44.441,-74.251,1700
1,5w,8,yellow birch,19.2,77.6119403,2222555555,82.142,2.010619331,20,,,5,44.441,-74.251,1700
1,5w,9,hard maple,6.9,50.38167939,2222555555,58.295,0.259672272,20,,,5,44.441,-74.251,1700
1,5w,10,yellow birch,11.8,53.52112676,2222555555,70.716,0.759436403,20,,,5,44.441,-74.251,1700
1,6e,1,hemlock,16.8,77.6119403,2222555555,64.454,1.539380425,20,,,5,44.441,-74.251,1700
1,6e,2,red maple,10,52.94117647,2222555555,57.97,0.5454154,20,,,5,44.441,-74.251,1700
1,6e,3,hard maple,13.4,55.96330275,2222555555,75.428,0.979347892,20,,,5,44.441,-74.251,1700
1,6e,4,red maple,7.8,33.33333333,2222555555,47.46,0.331830729,20,,,5,44.441,-74.251,1700
1,6e,5,hard maple,5.7,45.45454545,2222555555,47.08,0.177205463,20,,,5,44.441,-74.251,1700
1,6w,6,paper birch,23.9,58.64661654,2222555555,88.711,3.115467306,20,,,5,44.441,-74.251,1700
1,6w,7,hard maple,9,40.625,2222555555,64.256,0.441786474,20,,,5,44.441,-74.251,1700
1,6w,8,hard maple,10.6,52.29885057,2222555555,78.474,0.612828743,20,,,5,44.441,-74.251,1700
1,6w,9,yellow birch,16,47.74193548,2222555555,89.28,1.396263424,20,,,5,44.441,-74.251,1700
1,6w,10,yellow birch,19.4,49.28571429,2222555555,88.48,2.052725399,20,,,5,44.441,-74.251,1700
1,6w,11,hard maple,8.6,43.67816092,2222555555,60.987,0.40338923,20,,,5,44.441,-74.251,1700
1,6w,12,red maple,7.5,41,2222555555,66.8,0.306796163,20,,,5,44.441,-74.251,1700
1,6w,13,hard maple,11.7,39.63963964,2222555555,69.486,0.746619141,20,,,5,44.441,-74.251,1700
1,7e,1,yellow birch,24.4,-17.85714286,2222555555,90.86,3.247185125,20,,,5,44.441,-74.251,1700
1,7w,2,paper birch,20.2,49.32432432,2222555555,61.864,2.225512998,20,,,5,44.441,-74.251,1700
1,8e,1,yellow birch,11.2,32.71028037,2222555555,61.632,0.684169078,20,,,5,44.441,-74.251,1700
1,8e,2,yellow birch,9.5,52.5862069,2222555555,67.976,0.492237399,20,,,5,44.441,-74.251,1700
1,8e,3,yellow birch,6.1,45.05494505,2222555555,38.129,0.20294907,20,,,5,44.441,-74.251,1700
1,8e,4,black cherry,16.6,53.14685315,2222555555,84.084,1.502946676,20,,,5,44.441,-74.251,1700
1,8e,5,red maple,5.5,42.98245614,2222555555,31.122,0.164988159,20,,,5,44.441,-74.251,1700
1,8w,6,hard maple,9,48.22695035,2222555555,63.732,0.441786474,20,,,5,44.441,-74.251,1700
1,8w,7,hard maple,9.4,50,2222555555,67.968,0.481929047,20,,,5,44.441,-74.251,1700
1,8w,8,hard maple,12.1,41.88034188,2222555555,67.977,0.798542687,20,,,5,44.441,-74.251,1700
1,8w,9,red maple,10.2,37.39837398,2222555555,71.217,0.567450182,20,,,5,44.441,-74.251,1700
1,8w,10,red maple,15,53.63636364,2222555555,71.72,1.22718465,20,,,5,44.441,-74.251,1700
